common_name,scientific_name,kingdom,phylum,class,order,family,genus,habitat,diet,lifespan_wild,lifespan_captivity,weight_kg,conservation_status,population_trend,geographic_range,interesting_fact,threats,description,lipaspan_captivity,lipaspan_wild
Glittering Sapphire,Lasaia agesilas,Animalia,Arthropoda,Insecta,Lepidoptera,Riodinidae,Lasaia,"Tropical forests, forest clearings","Herbivore (larvae) — various plants; Adults — nectar, minerals",1 year (lifecycle),N/A,<0.001 kg,Least Concern,Stable,Texas through Central America to South America,"Metal mark butterflies (family Riodinidae) are named for the metallic-looking spots on their wings. The glittering sapphire produces vivid iridescent blue colouration through structural colour — microscopic structures that refract light, similar to the blue morpho.",Deforestation,"The glittering sapphire is a small butterfly with brilliant iridescent blue wings in males (females are less vivid) with dark brown borders. The metallic shimmer changes intensity with viewing angle, making it one of the most dazzling small butterflies.",,
Goat,Capra aegagrus hircus,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,"Mountains, grasslands, scrublands (domesticated)","Herbivore — leaves, stems, shrubs, grains",10–15 years,15–18 years,20–90 kg,Not Evaluated,Stable,Worldwide (domesticated),"Goats have rectangular pupils that give them a 320-degree field of view without moving their heads, compared to about 185 degrees for humans — ideal for watching for predators while grazing.",None — domesticated,"The domestic goat is a subspecies of the wild goat. It is one of the earliest domesticated animals. Goats are agile, curious, and intelligent, with both sexes potentially bearing horns and wattles.",,
Gold Banded,Coelites euptychioides,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Coelites,Tropical and subtropical forests,"Herbivore (larvae) — various plants; Adults — rotting fruit, sap",1 year (lifecycle),N/A,<0.001 kg,Least Concern,Stable,Southeast Asia,"Gold-banded butterflies are typically found in dark forest understorey environments where shafts of light illuminate the forest floor. Males are territorial and perch on leaves in patches of light, chasing other males that enter their territory.",Deforestation,"The gold-banded butterfly is a dark butterfly with a distinctive broad, bright yellow-gold band crossing its wings. It has a slow, flapping flight through dark forest understorey and rests with wings outspread.",,
Goldfish,Carassius auratus,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,"Freshwater ponds, rivers (and captivity)","Omnivore — algae, insects, crustaceans, plant matter",Up to 25 years,10–15 years,0.1–3 kg,Least Concern,Stable,East Asia (native); worldwide (domesticated),"Goldfish have a memory span of at least three months — the '3-second memory' is a myth. They can recognise their owners, learn simple tasks, and remember them months later.",Minimal — domesticated; wild populations threatened by invasives,"The goldfish is one of the earliest fish to be domesticated. Originally a grey-green wild carp from East Asia, centuries of selective breeding have produced hundreds of varieties in a rainbow of colours and body shapes.",,
Goose,Anser anser,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,"Wetlands, grasslands, farmland","Herbivore — grass, grain, aquatic plants",10–15 years,Up to 25 years,2.5–4.1 kg,Least Concern,Stable,"Europe, Asia, North America","Geese mate for life and form strong pair bonds. If one partner dies, the surviving goose may mourn and remain alone for an extended period before choosing a new partner.","Hunting, habitat loss","The greylag goose is the ancestor of most domestic geese. It has a large orange bill, pale orange-pink legs, and grey-brown plumage with a white belly. It forms large, noisy flocks and migrates seasonally.",,
Gorilla,Gorilla gorilla,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,"Tropical rainforests, swamps, montane forests","Herbivore — leaves, stems, fruit, shoots, bark",35–40 years,Up to 55 years,70–200 kg,Critically Endangered,Decreasing,Central and West Africa,Gorillas are highly intelligent great apes that build nests each night to sleep in. They have been taught sign language in captivity and can communicate using hundreds of signs.,"Deforestation, poaching, disease, armed conflict","The western gorilla is the world's largest living primate. It has a stocky body, broad chest, and strong arms longer than its legs. Adult males develop a silver-grey back (silverbacks) as they mature.",,
Grasshopper,Locusta migratoria,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Locusta,"Grasslands, savannas, croplands, wetland margins","Herbivore — grasses, cereal crops, vegetables",3–5 months,N/A,<0.001 kg,Least Concern,Varies,"Africa, Asia, Australia, southern Europe","Migratory locusts can form swarms of billions that darken the sky for hours. A 1-km² swarm contains around 80 million individuals that eat 35,000 people's worth of food daily. Desert locust swarms cover up to 460,000 km² and travel 130 km in a day.",Pesticide use (ironically a threat to non-pest grasshopper species),"The migratory locust (in its solitary phase) is a typical green-brown grasshopper. Triggered by crowding, it transforms into the gregarious phase with a distinctive yellow and black pattern and forms massive, devastating swarms.",,
Great Eggfly,Hypolimnas bolina,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Hypolimnas,"Forests, gardens, forest margins, coastal scrub","Herbivore (larvae) — Portulaca and various plants; Adults — nectar, fruit",1 year (lifecycle),,<0.001 kg,Least Concern,Stable,Widespread from Madagascar through South and Southeast Asia to Pacific Islands,"The great eggfly is one of the world's most widespread butterflies but shows remarkable variation across its range — populations on different islands have evolved independently into distinct-looking forms, some mimicking different toxic butterflies locally.",Deforestation,"Male great eggflies are spectacular — velvety black with three pairs of large white spots ringed in iridescent purple-blue. Females are highly variable, often mimicking other butterfly species. It is one of the most widespread Nymphalid butterflies.",N/A,
Great Jay,Graphium xenocles,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Graphium,Tropical forests of South and Southeast Asia,"Herbivore (larvae) — Uvaria and related plants; Adults — nectar, minerals",1 year (lifecycle),N/A,<0.001 kg,Least Concern,Stable,South and Southeast Asia,Jay swallowtail butterflies (Graphium species) are fast-flying and often found mud-puddling in large groups alongside other species. Males gather at damp soil to extract sodium and minerals essential for reproduction.,Deforestation,"The great jay is a large swallowtail butterfly, dark brown-black above with vivid blue-green iridescent markings across both wings — appearing to glow in forest light. It has an elegant, rapid flight through the rainforest canopy.",,
Green Celled Cattleheart,Parides sesostris,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parides,Tropical forests of Central and South America,Herbivore (larvae) — Aristolochia vines; Adults — nectar,1 year (lifecycle),N/A,<0.001 kg,Least Concern,Stable,Southern Mexico through Central America to Peru and Bolivia,"Cattleheart butterflies sequester toxic aristolochic acids from their Aristolochia larval host plants, making themselves unpalatable to predators. Their bright colours advertise this toxicity, and they are mimicked by several non-toxic butterfly species.",Deforestation,The green-celled cattleheart is a stunning dark swallowtail. Its wings are velvety black above with brilliant green iridescent cells on the hindwing that appear to glow. Males have crimson patches on the hindwing underside.,,
Green Hairstreak,Callophrys rubi,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Callophrys,"Heathland, downland, woodland rides, hedgerows","Herbivore (larvae) — gorse, bilberry, broom, rock rose; Adults — flowers",1 year (lifecycle),N/A,<0.001 kg,Least Concern,Decreasing,"Europe, North Africa, parts of Asia","The green hairstreak is Britain's only green butterfly — and its green is structural colour, not pigment. When resting with wings closed, the vivid green undersides make it virtually invisible against green leaves, despite being a butterfly.","Loss of scrub habitats, over-management, grazing pressure","The green hairstreak is a small butterfly. The upperside is plain brown but rarely seen as it almost always rests with wings closed, revealing the vivid iridescent green underside with a faint white hairstreak line.",,
Grey Hairstreak,Strymon melinus,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Strymon,"Open areas, fields, gardens, roadsides, woodland edges",Herbivore (larvae) — wide range of plants; Adults — many flowers,1 year (lifecycle),,<0.001 kg,Least Concern,Stable,North America (most widespread hairstreak),"The grey hairstreak has false antennae — hindwing tails with orange-capped black eyespots that mimic the butterfly's head and antennae when it rubs its hindwings together. Predators strike the decoy, allowing the butterfly to escape with its real head intact.",Minimal — widespread and adaptable,"The grey hairstreak is a small butterfly, blue-grey above (in males) and grey below with a distinctive orange and blue eyespot at the base of its short hindwing tail. It is the most widespread hairstreak in North America.",N/A,
Hamster,Mesocricetus auratus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Mesocricetus,"Dry areas, steppes, sand dunes (wild)","Omnivore — seeds, nuts, insects, vegetables",2–3 years,2–4 years,0.095–0.188 kg,Vulnerable,Decreasing,"Syria, Turkey (wild); worldwide (captive)","Wild hamsters can run up to 8 km per night on their foraging routes. Their cheek pouches can hold up to half their body weight in food, which they carry back to their burrows for storage.","Agricultural intensification, habitat loss (wild population)","The Syrian or golden hamster is a small rodent with large cheek pouches, stubby legs, and a very short tail. In the wild it is solitary and nocturnal. It is one of the most popular small pets worldwide.",,
Harbor Seal,Phoca vitulina,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Phoca,"Coastal waters, estuaries, rocky shores, ice floes","Carnivore — fish, squid, crustaceans, molluscs",20–30 years,Up to 40 years,55–170 kg,Least Concern,Stable,North Atlantic and North Pacific coasts,"Harbor seals can sleep underwater, surfacing automatically to breathe without waking — a state called aquatic sleep. They can also dive to 300 m and hold their breath for up to 30 minutes.","Pollution, bycatch, disease, disturbance","The harbor seal is a true seal with a spotted grey to tan coat. Unlike sea lions, it has no external ear flaps. On land it moves by caterpillar-like undulations of its body, as it cannot turn its hind flippers forward.",,
Hawk,Buteo jamaicensis,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,"Open country, forests, deserts, coasts","Carnivore — rodents, rabbits, snakes, small birds",10–15 years,Up to 25 years,0.7–1.5 kg,Least Concern,Stable,North America,Red-tailed hawks are so iconic in North America that their call is typically substituted for the bald eagle in film and TV because the actual bald eagle call is considered too soft and undramatic.,"Habitat loss, vehicle strikes, pesticide exposure","The red-tailed hawk is the most common hawk in North America. It has a distinctive rusty-red tail in adults, brown upperparts, and pale underparts with a dark belly band. It is a powerful, adaptable predator.",,
Hedgehog,Erinaceus europaeus,Animalia,Chordata,Mammalia,Erinaceomorpha,Erinaceidae,Erinaceus,"Hedgerows, woodland edges, parks, gardens","Omnivore — insects, earthworms, frogs, berries, eggs",2–5 years,Up to 10 years,0.4–1.2 kg,Least Concern,Decreasing,"Europe, Asia, Africa","Hedgehogs have around 5,000–7,000 spines on their backs — each one a hollow hair made stiff with keratin. When threatened, they curl into a tight ball, protecting their soft underbelly completely.","Road traffic, habitat fragmentation, pesticide use","The European hedgehog is a small, nocturnal mammal covered in sharp spines on its back and sides. Its face, underside, and legs are covered in coarse hair. It hibernates during winter in temperate regions.",,
Hercules Moth,Coscinocera hercules,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Coscinocera,Tropical rainforests of northern Australia and New Guinea,Herbivore (larvae) — bleeding heart trees; Adults — cannot eat,1–2 weeks (adult),,<0.001 kg,Least Concern,Unknown,North Queensland (Australia) and New Guinea,"The Hercules moth is Australia's largest moth and has the greatest wing surface area of any insect — up to 36 cm² per wing. Like other giant silkmoths, adults cannot eat and devote their entire short adult life to reproduction.","Deforestation, light pollution","The Hercules moth is enormous, with a wingspan up to 27 cm. Females are larger than males. The wings are grey-brown with transparent 'windows' and long, tapering hindwing tails. Males have broader, more elongated hindwing extensions than females.",N/A,
Hippopotamus,Hippopotamus amphibius,Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,"Rivers, lakes, swamps, grasslands","Herbivore — grass, fallen fruit",40–50 years,Up to 61 years,"1,500–4,000 kg",Vulnerable,Decreasing,Sub-Saharan Africa,"Despite their seemingly docile appearance, hippos are responsible for more human fatalities in Africa than any other large animal. They can run at 30 km/h and have extremely large, sharp canine teeth used in combat.","Poaching for ivory teeth, habitat loss, human conflict","The hippopotamus is the third-largest living land mammal after elephants and white rhinos. Despite looking like it should be a pachyderm relative, DNA analysis shows the hippo's closest living relatives are cetaceans — whales and dolphins.",,
Horse,Equus ferus caballus,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,"Grasslands, savannas (domesticated)","Herbivore — grass, hay, grains",15–25 years,25–30 years,"380–1,000 kg",Not Evaluated,Stable,Worldwide (domesticated),"Horses sleep standing up using a 'stay apparatus' of ligaments and tendons to lock their knees. They only lie down for REM sleep, typically for 2–3 hours per day.",None — domesticated,"The domestic horse is a large, hoofed mammal that has lived alongside humans for 5,000 years. With strong, muscular bodies and great stamina, horses revolutionised transportation, agriculture, and warfare throughout history.",,
Humming Bird Hawk Moth,Macroglossum stellatarum,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Macroglossum,"Open fields, gardens, scrubland with flowers",Herbivore (larvae) — bedstraw; Adults — nectar from deep flowers,1 year (lifecycle),N/A,<0.001 kg,Least Concern,Stable,"Europe, Africa, Asia",The hummingbird hawk-moth is so named because it hovers in front of flowers while feeding — exactly like a hummingbird — beating its wings 70–85 times per second and producing a humming sound. Most observers genuinely mistake it for a hummingbird.,Habitat loss,"The hummingbird hawk-moth has olive-brown forewings, bright orange hindwings, and a distinctive fan-shaped tail of black-and-white tufts. Its proboscis can be as long as its entire body, allowing it to reach deep into long flowers.",,
Hyena,Crocuta crocuta,Animalia,Chordata,Mammalia,Carnivora,Hyaenidae,Crocuta,"Savannas, grasslands, sub-deserts, woodlands","Carnivore/scavenger — wildebeest, zebra, carrion",12 years,Up to 25 years,40–86 kg,Least Concern,Decreasing,Sub-Saharan Africa,"Spotted hyenas are not primarily scavengers — they kill up to 95% of their food. They are also the only mammals with a pseudo-penis in the female, making sex determination challenging without expert examination.","Habitat loss, persecution by livestock farmers, snaring","The spotted hyena, also called the laughing hyena, is the largest and most abundant hyena species. It has a powerful build, large rounded ears, spots on its coat, and a sloping back due to longer front legs.",,
Iguana,Iguana iguana,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Iguana,"Tropical rainforests, dry forests, coastal areas","Herbivore — leaves, fruits, flowers",8–20 years,Up to 20 years,4–9 kg,Least Concern,Decreasing,"Central and South America, Caribbean","Iguanas have a third eye on top of their head called the parietal eye which detects changes in light and shadow, helping them sense predators approaching from above.","Habitat loss, hunting for meat and leather, pet trade","The green iguana is a large, arboreal lizard with a distinctive dewlap, a row of dorsal spines from neck to tail, and rough scales. Despite being called 'green', adults can vary from bright green to brown and even orange.",,
Indra Swallow,Papilio indra,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,"Rocky cliffs, canyons, sagebrush scrub of western mountains",Herbivore (larvae) — native umbellifers (carrot family); Adults — nectar,1 year (lifecycle),,<0.001 kg,Least Concern,Stable,Rocky Mountain region of western North America,"The Indra swallowtail is adapted to harsh, high-elevation rocky habitats and is one of the few swallowtails that specialises in cliff-face terrain. Different isolated mountain populations show distinct wing pattern variations, making it a classic example of geographic speciation in progress.","Habitat disturbance, overgrazing affecting larval host plants","The Indra swallowtail is a black swallowtail with pale yellow spots in bands across the wings, blue hindwing patches, and red-orange eyespots near the tail. It has short tails relative to other swallowtails.",N/A,
Io Moth,Automeris io,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Automeris,"Forests, forest edges, parks — eastern North America",Herbivore (larvae) — wide variety of trees; Adults — cannot eat,,N/A,<0.001 kg,Least Concern,Stable,Eastern North America,"The io moth has enormous, false eyespots on its hindwings that are normally hidden by the cryptic forewing. When disturbed, it suddenly reveals these eyespots — simulating a large predator's eyes — often startling birds long enough for the moth to escape.","Habitat loss, light pollution","The io moth shows strong sexual dimorphism. Males have yellow forewings; females have reddish-brown. Both have brilliant, cow-sized eyespots on the hindwings — large blue and black concentric circles on a yellow background — used as a startle defence.",,1 year (lifecycle)
Iphiclus Sister,Adelpha iphiclus,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Adelpha,Tropical forests of Central and South America,"Herbivore (larvae) — various tropical plants; Adults — rotting fruit, sap",1 year (lifecycle),,<0.001 kg,Least Concern,Stable,Central and South America,"Sister butterflies (genus Adelpha) form one of the most species-rich butterfly genera in the Americas, with over 85 species. Many are difficult to distinguish even for experts, as they mimic each other and vary considerably across their range.",Deforestation,"The Iphiclus sister is a medium-sized butterfly, dark brown-black above with a broad, bright white band sweeping across both wings, and orange hindwing markings. The pattern is typical of many Adelpha 'sister' species.",N/A,
Jaguar,Panthera onca,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,"Rainforests, wetlands, grasslands, dry forests","Carnivore — deer, capybara, peccaries, caimans, fish",12–15 years,Up to 23 years,56–96 kg,Near Threatened,Decreasing,"Central and South America, from Mexico to Argentina","The jaguar has the strongest bite force of any big cat relative to its size, capable of piercing turtle shells and killing prey with a single bite through the skull. It is the only big cat in the Americas.","Deforestation, prey depletion, ranching conflicts, trafficking","The jaguar is the largest cat in the Americas and the third largest in the world. It has a stocky, muscular build with a pale yellow coat covered in black rosettes with spots inside — distinguishing it from the leopard.",,
Jellyfish,Aurelia aurita,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,"Open oceans, coastal waters, worldwide","Carnivore — plankton, fish eggs, small fish",12 months,Up to 18 months,<0.001–2 kg,Least Concern,Increasing,Worldwide oceans,"One species of jellyfish, Turritopsis dohrnii, is considered biologically immortal — it can revert from its adult form back to an immature polyp and restart its life cycle when stressed.","Ocean acidification, pollution (ingesting plastic)","The moon jellyfish is a translucent, disc-shaped cnidarian with four distinctive horseshoe-shaped gonads visible through the bell. It drifts with ocean currents and uses trailing tentacles to capture small prey.",,
Julia,Dryas iulia,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Dryas,"Tropical forests, open habitats, gardens","Herbivore (larvae) — passionflower vines; Adults — nectar, tear-drinking",1 year (lifecycle),N/A,<0.001 kg,Least Concern,Stable,"Florida, Caribbean, Central and South America",Julia butterflies have been documented drinking tears from the eyes of basking crocodilians and sleeping birds — a behaviour called lachryphagy. The sodium and amino acids in tears supplement minerals that are difficult to find in nectar.,Habitat loss,"The Julia butterfly is a large, elongated heliconian with vivid orange-flame to reddish-orange wings bordered in black. Males are more vibrant than females. Its long, narrow wing shape gives it an elegant, gliding flight.",,
Jute,Corchorus capsularis,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Corchorus,"Warm, humid tropical and subtropical regions",N/A — plant,Annual,Annual crop,N/A,Not Evaluated,Stable,South and Southeast Asia (cultivated globally),Jute is the second most important natural fibre after cotton. Jute bags and sacks are biodegradable and have been used for thousands of years. Bangladesh and India produce about 95% of the world's jute.,Synthetic fibre competition,"Jute is a flowering plant grown primarily for its soft, shiny bast fibre. The stems grow 2–4 m tall. The fibre is extracted from the stem and used to make burlap, hessian cloth, rope, and biodegradable packaging.",,
Kangaroo,Macropus rufus,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Macropus,"Open grasslands, scrublands, deserts","Herbivore — grasses, shrubs, leaves",8–12 years,Up to 23 years,18–90 kg,Least Concern,Stable,Australia,Kangaroos are the only large animals to use hopping as their primary form of locomotion. The red kangaroo can reach speeds of 70 km/h and jump over 9 metres in a single bound.,"Hunting, habitat loss, vehicle collisions",The red kangaroo is the largest marsupial and the largest native land animal of Australia. Females carry underdeveloped young (joeys) in a forward-facing pouch. Males have distinctive reddish fur.,,
Koala,Phascolarctos cinereus,Animalia,Chordata,Mammalia,Diprotodontia,Phascolarctidae,Phascolarctos,Eucalyptus forests and woodlands,Herbivore — eucalyptus leaves,13–18 years,Up to 20 years,4–15 kg,Vulnerable,Decreasing,Eastern Australia,"Koala fingerprints are virtually identical to human fingerprints, even under a microscope — so similar that they have occasionally confused crime scene investigators.","Habitat loss, bushfires, disease (chlamydia), vehicle strikes","The koala is an arboreal marsupial with a large round head, fluffy ears, and a spoon-shaped nose. It spends up to 22 hours per day sleeping to conserve energy, as eucalyptus leaves are low in nutrition.",,
Ladybird,Coccinella septempunctata,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinella,"Gardens, fields, woodlands, meadows — wherever aphids occur","Carnivore — aphids, scale insects, mites",1 year,N/A,<0.001 kg,Least Concern,Decreasing,"Europe, Asia; introduced worldwide","A single seven-spot ladybird can eat up to 5,000 aphids in its lifetime. Ladybirds produce a foul-smelling, toxic yellow fluid from their leg joints (reflex bleeding) when threatened, deterring most predators.","Invasive harlequin ladybird competition, habitat loss, pesticides","The seven-spot ladybird is a small, domed beetle with vivid red elytra (wing cases) bearing seven black spots — three on each wing case plus one shared spot across the centre. It is one of the most beneficial insects in gardens.",,
Ladybug,Harmonia axyridis,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Harmonia,"Gardens, farmlands, forests — wherever scale insects and aphids occur","Carnivore — aphids, scale insects",1 year,N/A,<0.001 kg,Least Concern,Increasing,Native to Asia; introduced and invasive worldwide,"The harlequin ladybug is the most invasive ladybug on Earth, having spread from deliberate biological control releases across Europe and North America. It outcompetes native ladybug species for prey and habitat and has been linked to declines in dozens of native ladybug populations.",None — abundant and invasive,"The harlequin ladybug shows extreme colour variation — from black with red spots to red with black spots and many variations between. It is generally larger and more variable in colour than native ladybug species, making identification complex.",,
Large Marble,Euchloe ausonides,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Euchloe,"Open woodlands, meadows, roadsides with mustard plants",Herbivore (larvae) — native mustards; Adults — nectar,1 year (lifecycle),,<0.001 kg,Least Concern,Stable,Western North America,The large marble butterfly is one of the first butterflies to emerge in spring in many western habitats. Its intricate green marbling on the hindwing underside provides near-perfect camouflage when it perches on flowerheads with wings closed.,"Urban development, loss of native mustard plants","The large marble is a medium white butterfly with black forewing patterning above. The hindwing underside is beautifully mottled with green and yellow-green, resembling mottled limestone — providing exceptional camouflage.",N/A,
Lemur,Lemur catta,Animalia,Chordata,Mammalia,Primates,Lemuridae,Lemur,"Dry forests, spiny forests, scrublands","Omnivore — fruit, leaves, flowers, insects, small animals",16–19 years,Up to 27 years,2.2–2.5 kg,Endangered,Decreasing,Madagascar,"Ring-tailed lemurs engage in 'stink fights' — males rub their tails over scent glands on their wrists and then wave their tails at rivals, wafting scent in their direction.","Deforestation, hunting, live capture for pet trade","The ring-tailed lemur is one of the most recognisable primates, with its distinctive long tail banded with black and white rings. It is highly social and spends more time on the ground than other lemurs.",,
Leopard,Panthera pardus,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,"Forests, savannas, grasslands, mountains, deserts","Carnivore — antelopes, deer, monkeys, rodents, birds",12–17 years,21–23 years,30–90 kg,Vulnerable,Decreasing,"Africa, South and Southeast Asia","Leopards are the only big cat that regularly stores kills in trees to protect food from lions and hyenas, sometimes dragging carcasses heavier than themselves up into the branches.","Habitat loss, prey decline, human persecution, illegal trade","The leopard is the most widespread big cat in the world. It has a pale to dark golden coat covered with black spots arranged in rosettes. It is largely solitary and nocturnal, with extraordinary adaptability.",,
Lion,Panthera leo,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,"Savannas, grasslands, open woodlands","Carnivore — zebras, wildebeests, antelopes, buffalo",10–14 years,20–25 years,120–250 kg,Vulnerable,Decreasing,"Sub-Saharan Africa, Gir Forest India","Lions are the only cats that live in social groups (prides). A pride is typically made up of related females and their cubs, plus a small coalition of males, who protect the territory.","Habitat loss, human conflict, trophy hunting, prey depletion",The African lion is the second-largest living cat after the tiger. Males are distinguished by their prominent mane that grows darker and fuller with age. Lions are famously the only cats where males and females look distinctly different.,,
Lizard,Lacerta viridis,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Lacerta,"Forest edges, grasslands, scrublands, gardens","Omnivore — insects, spiders, worms, berries",5–12 years,Up to 15 years,0.02–0.1 kg,Least Concern,Stable,"Europe, Western Asia",Lizards can detach their tails voluntarily when grabbed by a predator — a behaviour called autotomy. The tail wriggles to distract the predator while the lizard escapes. A new tail regenerates but is made of cartilage.,"Habitat loss, pesticide use, invasive species",The European green lizard is a medium-sized lizard. Males are bright green with a blue throat during breeding season. It basks in sunny spots and is an agile hunter of invertebrates.,,
Lizard Images2,Not yet classified,Animalia,Unknown,Unknown,Unknown,Unknown,Unknown,Various,Unknown,Unknown,Unknown,Unknown,Not Evaluated,Unknown,Unknown,The Lizard Images2 is one of 209 species in the AniX wildlife identification dataset.,Unknown,The Lizard Images2 is included in the AniX training dataset. Detailed biological information will be updated in a future version.,,
Luna Moth,Actias luna,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Actias,"Deciduous forests with walnut, hickory, sweet gum, birch",Herbivore (larvae) — various deciduous trees; Adults — cannot eat,1 week (adult),N/A,<0.001 kg,Least Concern,Decreasing,Eastern North America,"The luna moth's long hindwing tails are thought to deflect bat echolocation. Studies found that moths with tails were substantially more likely to escape bat attacks, as the bat's sonar locks onto the rotating tail rather than the moth's body.","Light pollution (disrupts navigation and mating), pesticides, habitat loss","The luna moth is one of North America's most spectacular insects — a large, pale lime-green moth with purple-pink borders, crescent-shaped eyespots on each wing, and dramatically elongated hindwing tails. It flies only at night for its single week of adult life.",,
Lynx,Lynx lynx,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,"Boreal forests, mountains, tundra","Carnivore — roe deer, hares, chamois, birds",10–17 years,Up to 26 years,18–36 kg,Least Concern,Stable,"Northern Europe, Russia, Central Asia","The Eurasian lynx has enormous paws that act as natural snowshoes, enabling it to walk on top of deep snow while chasing prey. Each paw is about the size of a human fist.","Habitat fragmentation, poaching, prey decline","The Eurasian lynx is the largest of the lynx species. It has long legs, large padded paws, a short tail with a black tip, tufted ears, and a spotted coat that varies from yellow-brown to grey.",,
Madagascan Sunset Moth,Chrysiridia rhipheus,Animalia,Arthropoda,Insecta,Lepidoptera,Uraniidae,Chrysiridia,Rainforests of Madagascar,Herbivore (larvae) — Omphalea vines; Adults — nectar,1 year (lifecycle),,<0.001 kg,Near Threatened,Unknown,Madagascar,"The Madagascan sunset moth is widely considered the world's most beautiful moth — and one of the most spectacular insects of any kind. Its vivid iridescent colours are structural rather than pigment-based, produced by microscopic ridged scales that diffract light.",Deforestation in Madagascar,"The Madagascan sunset moth has wings blazing with iridescent greens, reds, blues, and oranges in complex patterns — all structural colour that shifts as the viewing angle changes. White and black markings frame the iridescent areas. Despite its brilliance, it is a moth, not a butterfly.",N/A,
Maize,Zea mays,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Zea,Temperate and tropical farmlands worldwide,N/A — plant,Annual,Annual crop,N/A,Not Evaluated,Stable,Worldwide (cultivated),"Maize (corn) is the world's most produced crop by volume. It originated in Mexico approximately 10,000 years ago from a wild grass called teosinte. Modern corn has been so selectively bred that it can no longer survive or reproduce without human intervention.","Climate change, pests, genetic homogeneity","Maize is a tall cereal plant reaching 2–3 m, with broad leaves and a distinctive ear of kernels (corn cob). It is a global staple food, used for animal feed, biofuel, and a wide range of food products. Each cob contains approximately 800 kernels in 16 rows.",,
Malachite,Siproeta stelenes,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Siproeta,"Tropical forests, forest clearings, gardens","Herbivore (larvae) — Ruellia; Adults — rotting fruit, flowers, bird droppings",1 year (lifecycle),,<0.001 kg,Least Concern,Stable,"Florida, Caribbean, Central and South America","The malachite butterfly is named for its resemblance to the green mineral malachite. Unlike most butterflies that feed primarily on nectar, the malachite strongly prefers rotting fruit, dung, and carrion, from which it extracts amino acids and minerals unavailable in nectar.",Deforestation,"The malachite is a large butterfly with dark brown wings decorated with bold, brilliant green panels — a combination that creates a strong visual similarity to the banded mineral malachite. It is a graceful, gliding flier.",N/A,
Mangrove Skipper,Phocides pigmalion,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Phocides,"Mangrove forests, tropical coastal areas",Herbivore (larvae) — red mangrove; Adults — nectar,1 year (lifecycle),,<0.001 kg,Least Concern,Stable,"Florida, Caribbean, Central America, South America","The mangrove skipper is unusual in being completely dependent on mangrove trees — one of the most threatened coastal habitats on Earth. Larvae feed exclusively on red mangrove leaves, and adults rarely stray far from mangrove forests.","Mangrove destruction, coastal development","The mangrove skipper is a large, iridescent butterfly with brilliant blue-green sheen across its dark wings — one of the most iridescent of all skipper butterflies. It has a fast, direct flight along mangrove forest edges.",N/A,
